num,initiator_list,days_total,days_per_stage_avg,result_stage,stage_days_1,stage_days_2,stage_days_3,stage_days_4,stage_days_5,stage_days_6,stage_days_7,stage_days_8,stage_workdays_1,stage_workdays_2,stage_workdays_3,stage_workdays_4,stage_workdays_5,stage_workdays_6,stage_workdays_7,stage_workdays_8,stage_break_days_1,stage_break_days_2,stage_break_days_3,stage_break_days_4,stage_break_days_5,stage_break_days_6,stage_break_days_7,stage_break_days_8,stage_break_workdays_1,stage_break_workdays_2,stage_break_workdays_3,stage_break_workdays_4,stage_break_workdays_5,stage_break_workdays_6,stage_break_workdays_7,stage_break_workdays_8,is_federal,is_deputy,is_ex_deputy,is_ex_counsil_member,is_council_member,is_legislature
640995-7,['5c77c6ebfed91f583dd7b298'],26,9,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1
542735-7,"['5c77c6e5fed91f583dd7af59', '5c77c6e6fed91f583dd7afc5']",160,20,3.2,155,3,4,0,0,0,0,0,104,2,1,0,0,0,0,0,-135,134,0,0,0,0,0,0,-90,91,0,0,0,0,0,0,0,0,0,0,2,0
212777-7,['5c77c6eafed91f583dd7b21c'],601,12,3.3,602,4,252,0,0,0,0,0,412,3,169,0,0,0,0,0,-528,273,0,0,0,0,0,0,-360,184,0,0,0,0,0,0,0,0,0,1,0,0
376788-7,"['5c77c6d6fed91f583dd7a7ac', '5c77c6d5fed91f583dd7a722', '5c77c6d7fed91f583dd7a80e', '5c77c6d8fed91f583dd7a880', '5c77c6d8fed91f583dd7a8d0']",407,12,3.3,138,6,156,0,0,0,0,0,93,4,104,0,0,0,0,0,-89,196,0,0,0,0,0,0,-60,137,0,0,0,0,0,0,0,0,5,0,0,0
376713-7,"['5c77c6d6fed91f583dd7a7ac', '5c77c6d5fed91f583dd7a722', '5c77c6d7fed91f583dd7a80e', '5c77c6d8fed91f583dd7a880', '5c77c6d8fed91f583dd7a8d0', '5c77c6d7fed91f583dd7a847']",407,11,3.3,137,6,156,0,0,0,0,0,93,4,104,0,0,0,0,0,-88,196,0,0,0,0,0,0,-60,137,0,0,0,0,0,0,0,0,6,0,0,0
375785-7,"['5c77c6d6fed91f583dd7a7ac', '5c77c6d5fed91f583dd7a722', '5c77c6d7fed91f583dd7a80e', '5c77c6d8fed91f583dd7a880', '5c77c6d8fed91f583dd7a8d0', '5c77c6d7fed91f583dd7a847']",407,11,3.3,138,12,156,0,0,0,0,0,94,7,104,0,0,0,0,0,-86,189,0,0,0,0,0,0,-58,132,0,0,0,0,0,0,0,0,6,0,0,0
343329-7,"['5c77c6d6fed91f583dd7a7f5', '5c77c6d6fed91f583dd7a7b0', '5c77c6ddfed91f583dd7aafe', '5c77c6d7fed91f583dd7a826']",458,9,3.3,1,8,287,0,0,0,0,0,0,5,192,0,0,0,0,0,41,121,0,0,0,0,0,0,23,83,0,0,0,0,0,0,0,1,3,0,0,0
312010-7,['5c77c6d8fed91f583dd7a89b'],505,10,3.3,153,8,292,0,0,0,0,0,101,5,201,0,0,0,0,0,-124,177,0,0,0,0,0,0,-80,116,0,0,0,0,0,0,0,0,1,0,0,0
309494-7,['5c77c6d8fed91f583dd7a89b'],509,10,3.3,149,8,292,0,0,0,0,0,98,5,201,0,0,0,0,0,-116,177,0,0,0,0,0,0,-75,116,0,0,0,0,0,0,0,0,1,0,0,0
273375-7,"['5c77c6d7fed91f583dd7a80e', '5c77c6d6fed91f583dd7a7d9', '5c77c6d7fed91f583dd7a830', '5c77c6d6fed91f583dd7a7f1', '5c77c6d7fed91f583dd7a847', '5c77c6d8fed91f583dd7a8d0', '5c77c6d7fed91f583dd7a854', '5c77c6d7fed91f583dd7a84c', '5c77c6d6fed91f583dd7a795', '5c77c6d5fed91f583dd7a743', '5c77c6d5fed91f583dd7a72d', '5c77c6d5fed91f583dd7a772']",531,10,3.3,85,90,307,0,0,0,0,0,60,57,211,0,0,0,0,0,-42,93,0,0,0,0,0,0,-29,63,0,0,0,0,0,0,0,0,12,0,0,0
189743-7,['5c77c6d8fed91f583dd7a89b'],670,12,3.3,122,7,314,0,0,0,0,0,86,0,216,0,0,0,0,0,9,218,0,0,0,0,0,0,7,146,0,0,0,0,0,0,0,0,1,0,0,0
184557-7,"['5c77c6d7fed91f583dd7a812', '5c77c6d6fed91f583dd7a798', '5c77c6d8fed91f583dd7a89b', '5c77c6d7fed91f583dd7a825']",657,17,3.3,114,7,294,0,0,0,0,0,80,0,197,0,0,0,0,0,25,218,0,0,0,0,0,0,18,146,0,0,0,0,0,0,0,0,4,0,0,0
169842-7,['5c77c6ebfed91f583dd7b27e'],692,11,3.3,79,9,363,0,0,0,0,0,55,7,249,0,0,0,0,0,-73,314,0,0,0,0,0,0,-51,215,0,0,0,0,0,0,0,0,0,0,0,1
175085-7,"['5c77c6d6fed91f583dd7a78a', '5c77c6d7fed91f583dd7a826', '5c77c6d6fed91f583dd7a78e', '5c77c6d8fed91f583dd7a887', '5c77c6e5fed91f583dd7af50']",666,19,3.3,108,86,120,0,0,0,0,0,77,61,78,0,0,0,0,0,-73,426,0,0,0,0,0,0,-53,289,0,0,0,0,0,0,0,0,4,0,1,0
514212-7,"['5c77c6d7fed91f583dd7a847', '5c77c6d7fed91f583dd7a861']",243,7,3.3,77,7,121,0,0,0,0,0,50,4,80,0,0,0,0,0,4,35,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,2,0,0,0
438680-7,"['5c77c6d5fed91f583dd7a725', '5c77c6d6fed91f583dd7a78a', '5c77c6d6fed91f583dd7a78e', '5c77c6d6fed91f583dd7a7c4', '5c77c6d6fed91f583dd7a7f0', '5c77c6d7fed91f583dd7a83a', '5c77c6d8fed91f583dd7a88c', '5c77c6d8fed91f583dd7a8c5', '5c77c6d7fed91f583dd7a833', '5c77c6d8fed91f583dd7a8e1']",309,8,3.3,32,7,241,0,0,0,0,0,21,-1,167,0,0,0,0,0,-5,35,0,0,0,0,0,0,-3,24,0,0,0,0,0,0,0,1,9,0,0,0
546226-7,['5c77c6d5fed91f583dd7a716'],196,8,6.3,1,12,51,41,1,7,0,0,0,8,37,28,0,4,0,0,14,7,64,0,-1,0,0,0,10,5,40,0,0,0,0,0,1,0,0,0,0,0
554243-7,"['5c77c6d7fed91f583dd7a812', '5c77c6d6fed91f583dd7a798', '5c77c6d5fed91f583dd7a774', '5c77c6d7fed91f583dd7a825', '5c77c6d7fed91f583dd7a822']",134,15,3.3,2,5,14,0,0,0,0,0,2,2,9,0,0,0,0,0,20,94,0,0,0,0,0,0,14,63,0,0,0,0,0,0,0,0,5,0,0,0
214526-7,['5c77c6ebfed91f583dd7b2c8'],585,42,3.3,231,1,512,0,0,0,0,0,159,0,348,0,0,0,0,0,-212,55,0,0,0,0,0,0,-144,35,0,0,0,0,0,0,0,0,0,0,0,1
576583-7,['5c77c6ebfed91f583dd7b28a'],99,13,3.3,2,6,66,0,0,0,0,0,1,3,42,0,0,0,0,0,5,21,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,1
568284-7,['5c77c6ebfed91f583dd7b280'],112,16,3.3,2,6,15,0,0,0,0,0,1,3,10,0,0,0,0,0,18,72,0,0,0,0,0,0,13,46,0,0,0,0,0,0,0,0,0,0,0,1
590019-7,"['5c77c6d7fed91f583dd7a821', '5c77c6d5fed91f583dd7a75a', '5c77c6d8fed91f583dd7a8ba', '5c77c6d5fed91f583dd7a762', '5c77c6d6fed91f583dd7a7bb', '5c77c6d5fed91f583dd7a76d', '5c77c6d7fed91f583dd7a806', '5c77c6d5fed91f583dd7a76a', '5c77c6d7fed91f583dd7a83b', '5c77c6d5fed91f583dd7a77b', '5c77c6d5fed91f583dd7a741', '5c77c6d5fed91f583dd7a727', '5c77c6d6fed91f583dd7a7f4', '5c77c6d8fed91f583dd7a87c', '5c77c6d8fed91f583dd7a87e', '5c77c6d5fed91f583dd7a760', '5c77c6d8fed91f583dd7a8c6', '5c77c6d8fed91f583dd7a884', '5c77c6d8fed91f583dd7a8b0', '5c77c6d8fed91f583dd7a8d5', '5c77c6d8fed91f583dd7a89c', '5c77c6d7fed91f583dd7a873', '5c77c6d7fed91f583dd7a83d', '5c77c6d7fed91f583dd7a802', '5c77c6d7fed91f583dd7a877', '5c77c6d6fed91f583dd7a7c8', '5c77c6d5fed91f583dd7a753', '5c77c6d7fed91f583dd7a834', '5c77c6d8fed91f583dd7a8a3', '5c77c6d6fed91f583dd7a7cf', '5c77c6d5fed91f583dd7a757', '5c77c6d8fed91f583dd7a8a6', '5c77c6d7fed91f583dd7a811', '5c77c6d8fed91f583dd7a89d', '5c77c6d6fed91f583dd7a7c2', '5c77c6d7fed91f583dd7a843', '5c77c6d7fed91f583dd7a815', '5c77c6d7fed91f583dd7a86a', '5c77c6d7fed91f583dd7a840', '5c77c6d6fed91f583dd7a7c6', '5c77c6d7fed91f583dd7a85b', '5c77c6d7fed91f583dd7a842', '5c77c6d6fed91f583dd7a7e1', '5c77c6d7fed91f583dd7a81c', '5c77c6d6fed91f583dd7a7ab', '5c77c6d8fed91f583dd7a897', '5c77c6e3fed91f583dd7ae55', '5c77c6e3fed91f583dd7ae56', '5c77c6d7fed91f583dd7a866', '5c77c6d8fed91f583dd7a8a7', '5c77c6d8fed91f583dd7a8d9', '5c77c6d7fed91f583dd7a836', '5c77c6d5fed91f583dd7a769', '5c77c6d5fed91f583dd7a754', '5c77c6d7fed91f583dd7a848', '5c77c6d6fed91f583dd7a796', '5c77c6d5fed91f583dd7a746', '5c77c6d6fed91f583dd7a7c1', '5c77c6d7fed91f583dd7a805', '5c77c6d6fed91f583dd7a7a1', '5c77c6d7fed91f583dd7a823', '5c77c6d6fed91f583dd7a783', '5c77c6d6fed91f583dd7a7de', '5c77c6d7fed91f583dd7a84b', '5c77c6e1fed91f583dd7ad3d', '5c77c6d5fed91f583dd7a751', '5c77c6d8fed91f583dd7a888', '5c77c6d6fed91f583dd7a7ff', '5c77c6d5fed91f583dd7a750', '5c77c6d7fed91f583dd7a85f', '5c77c6d5fed91f583dd7a71d', '5c77c6d7fed91f583dd7a865', '5c77c6d8fed91f583dd7a8a9', '5c77c6d8fed91f583dd7a8a5', '5c77c6d5fed91f583dd7a74a', '5c77c6d5fed91f583dd7a739', '5c77c6d6fed91f583dd7a786', '5c77c6d5fed91f583dd7a768', '5c77c6d6fed91f583dd7a784', '5c77c6d7fed91f583dd7a803', '5c77c6d8fed91f583dd7a8ae', '5c77c6d6fed91f583dd7a7d2', '5c77c6d6fed91f583dd7a7ad', '5c77c6d6fed91f583dd7a7cb', '5c77c6d6fed91f583dd7a7d0', '5c77c6d5fed91f583dd7a752', '5c77c6d8fed91f583dd7a882', '5c77c6d6fed91f583dd7a7b8', '5c77c6d7fed91f583dd7a84d', '5c77c6d7fed91f583dd7a87a', '5c77c6d7fed91f583dd7a82a', '5c77c6d7fed91f583dd7a82e', '5c77c6d5fed91f583dd7a767', '5c77c6d7fed91f583dd7a853', '5c77c6d6fed91f583dd7a7e8', '5c77c6d8fed91f583dd7a8c1']",127,2,6.3,4,7,17,2,2,7,0,0,3,4,12,2,2,4,0,0,18,35,33,5,-1,0,0,0,13,19,22,3,0,0,0,0,0,3,93,0,0,0
334240-7,"['5c77c6d6fed91f583dd7a7f5', '5c77c6d7fed91f583dd7a826', '5c77c6d8fed91f583dd7a887', '5c77c6d7fed91f583dd7a81d', '5c77c6d8fed91f583dd7a8c5', '5c77c6d7fed91f583dd7a83a']",427,26,3.3,113,6,142,0,0,0,0,0,72,3,96,0,0,0,0,0,5,161,0,0,0,0,0,0,4,112,0,0,0,0,0,0,0,0,6,0,0,0
422924-7,"['5c77c6dbfed91f583dd7aa18', '5c77c6d5fed91f583dd7a74b', '5c77c6d6fed91f583dd7a791', '5c77c6d6fed91f583dd7a7bd', '5c77c6d8fed91f583dd7a8c8', '5c77c6d5fed91f583dd7a777', '5c77c6d7fed91f583dd7a842', '5c77c6d7fed91f583dd7a863', '5c77c6d6fed91f583dd7a7f8', '5c77c6d8fed91f583dd7a898', '5c77c6d5fed91f583dd7a778', '5c77c6d6fed91f583dd7a7d2', '5c77c6d6fed91f583dd7a7ad', '5c77c6d6fed91f583dd7a7d1', '5c77c6d7fed91f583dd7a806', '5c77c6d6fed91f583dd7a7a5', '5c77c6d8fed91f583dd7a8c3', '5c77c6d7fed91f583dd7a853', '5c77c6d5fed91f583dd7a733', '5c77c6d8fed91f583dd7a8a6', '5c77c6d7fed91f583dd7a811', '5c77c6d7fed91f583dd7a813', '5c77c6d7fed91f583dd7a83d', '5c77c6d6fed91f583dd7a783', '5c77c6d5fed91f583dd7a74a', '5c77c6d7fed91f583dd7a85b']",327,9,6.3,152,5,38,22,2,7,0,0,105,3,28,15,1,4,0,0,-139,153,90,-1,-1,0,0,0,-96,106,58,0,0,0,0,0,0,1,25,0,0,0
402517-7,['5c77c6d6fed91f583dd7a7ca'],349,11,3.3,3,6,223,0,0,0,0,0,2,4,153,0,0,0,0,0,19,99,0,0,0,0,0,0,13,68,0,0,0,0,0,0,0,0,1,0,0,0
164080-7,['5c77c6ebfed91f583dd7b2af'],652,66,3.3,79,7,591,0,0,0,0,0,55,-1,405,0,0,0,0,0,-44,21,0,0,0,0,0,0,-31,15,0,0,0,0,0,0,0,0,0,0,0,1
572666-7,['5c77c6d5fed91f583dd7a714'],104,6,8.1,43,12,5,42,2,7,0,1,30,8,3,19,2,4,0,0,-42,30,0,0,-1,0,7,0,-25,22,0,0,0,0,5,0,1,0,0,0,0,0
563715-7,['5c77c6d5fed91f583dd7a716'],118,7,8.1,2,7,41,7,1,7,0,1,1,4,29,0,0,4,0,0,3,2,41,1,-1,0,7,0,2,2,19,1,0,0,5,0,1,0,0,0,0,0
562617-7,['5c77c6d5fed91f583dd7a716'],119,8,8.1,2,6,8,7,1,7,0,1,1,4,5,0,0,4,0,0,5,43,34,0,0,0,7,0,3,31,18,0,0,0,5,0,1,0,0,0,0,0
494022-7,['5c77c6d5fed91f583dd7a716'],229,10,8.1,1,5,90,6,3,7,0,1,0,2,63,4,2,4,0,0,12,65,35,0,-1,0,7,0,9,48,19,0,0,0,5,0,1,0,0,0,0,0
433488-7,['5c77c6e6fed91f583dd7afc1'],308,13,8.1,147,7,92,38,1,7,0,1,101,4,65,21,0,4,0,0,-111,61,61,0,-1,0,7,0,-77,42,44,0,0,0,5,0,0,0,0,0,1,0
346126-7,"['5c77c6e6fed91f583dd7afed', '5c77c6d5fed91f583dd7a73a', '5c77c6d5fed91f583dd7a768', '5c77c6d6fed91f583dd7a7d6', '5c77c6d5fed91f583dd7a732', '5c77c6d5fed91f583dd7a737', '5c77c6d7fed91f583dd7a84a', '5c77c6d7fed91f583dd7a863', '5c77c6d8fed91f583dd7a8c3']",412,18,8.1,196,12,99,5,1,13,0,1,128,8,67,3,0,8,0,0,-160,62,176,1,0,0,7,0,-108,38,121,1,0,0,5,0,0,0,8,0,1,0
340439-7,['5c77c6d5fed91f583dd7a716'],419,25,8.1,2,19,297,7,2,7,0,1,1,7,207,0,2,4,0,0,6,42,33,0,-1,0,7,0,4,30,17,0,0,0,5,0,1,0,0,0,0,0
165825-7,"['5c77c6e6fed91f583dd7afbf', '5c77c6e5fed91f583dd7af8b', '5c77c6eafed91f583dd7b1d1', '5c77c6eafed91f583dd7b242', '5c77c6e6fed91f583dd7afdf', '5c77c6ebfed91f583dd7b25c', '5c77c6e5fed91f583dd7af8e', '5c77c6e5fed91f583dd7af93', '5c77c6e5fed91f583dd7af92', '5c77c6d8fed91f583dd7a8bf', '5c77c6d8fed91f583dd7a894', '5c77c6d7fed91f583dd7a85f', '5c77c6d7fed91f583dd7a85b', '5c77c6d6fed91f583dd7a7f4']",644,23,8.1,327,12,14,54,4,7,0,1,223,8,9,32,2,4,0,0,-305,351,169,3,1,0,7,0,-208,240,121,3,2,0,5,0,0,0,5,3,6,0
438647-7,"['5c77c6d7fed91f583dd7a812', '5c77c6d6fed91f583dd7a798', '5c77c6d5fed91f583dd7a774', '5c77c6d7fed91f583dd7a825', '5c77c6d8fed91f583dd7a89b', '5c77c6d7fed91f583dd7a822', '5c77c6d8fed91f583dd7a8c2', '5c77c6d7fed91f583dd7a82d']",314,32,3.3,42,7,16,0,0,0,0,0,27,-1,11,0,0,0,0,0,-14,265,0,0,0,0,0,0,-4,178,0,0,0,0,0,0,0,0,8,0,0,0
